id,topic,question,choices,debit_answer,credit_answer
1,belanja_belum_bayar,"Pada 31 Disember 2024 gaji sebanyak RM3 000 masih belum dibayar.","Gaji;Gaji belum bayar;Sewa;Sewa prabayar;Akaun Belum Terima","Gaji","Gaji belum bayar"
2,belanja_belum_bayar,"Upah pekerja bulan Disember RM1 500 masih belum dibayar.","Upah;Upah belum bayar;Sewa;Sewa prabayar;Akaun Belum Terima","Upah","Upah belum bayar"
3,belanja_belum_bayar,"Faedah atas pinjaman RM800 bagi bulan Disember masih belum dijelaskan.","Faedah pinjaman;Faedah pinjaman belum bayar;Insurans;Insurans prabayar","Faedah pinjaman","Faedah pinjaman belum bayar"

4,belanja_prabayar,"Sewa premis RM1 200 dibayar untuk tiga bulan bermula 1 Januari tahun hadapan.","Sewa;Sewa prabayar;Gaji;Gaji belum bayar;Insurans prabayar","Sewa prabayar","Sewa"
5,belanja_prabayar,"Insurans tahunan RM2 400 dibayar pada 1 Oktober, baki tiga bulan merupakan insurans prabayar.","Insurans;Insurans prabayar;Sewa;Sewa prabayar;Akaun Belum Terima","Insurans prabayar","Insurans"
6,belanja_prabayar,"Belanja pengiklanan RM900 dibayar awal untuk bulan Januari tahun berikutnya.","Belanja iklan;Belanja iklan prabayar;Belanja am;Belanja belum bayar","Belanja iklan prabayar","Belanja iklan"

7,hasil_belum_terima,"Sewa kedai RM600 bagi bulan Disember masih belum diterima.","Sewa diterima;Sewa belum terima;Akaun Belum Terima;Hasil belum terperoleh","Akaun Belum Terima","Sewa diterima"
8,hasil_belum_terima,"Faedah simpanan tetap RM400 masih belum diterima pada akhir tahun.","Faedah simpanan tetap;Faedah simpanan belum terima;Akaun Belum Terima;Hasil belum terperoleh","Akaun Belum Terima","Faedah simpanan tetap"
9,hasil_belum_terima,"Komisen RM500 bagi bulan Disember belum diterima.","Komisen;Komisen belum terima;Akaun Belum Terima;Hasil belum terperoleh","Akaun Belum Terima","Komisen"

10,hasil_belum_terperoleh,"Pelanggan membayar sewa kedai RM1 200 terlebih dahulu untuk bulan Januari tahun hadapan.","Sewa diterima;Sewa belum terperoleh;Akaun Belum Terima;Hasil belum terima","Sewa diterima","Sewa belum terperoleh"
11,hasil_belum_terperoleh,"Terima faedah simpanan tetap RM300 untuk tiga bulan bermula Januari tahun hadapan.","Faedah simpanan tetap;Faedah belum terperoleh;Akaun Belum Terima;Hasil belum terima","Faedah simpanan tetap","Faedah belum terperoleh"
12,hasil_belum_terperoleh,"Terima komisen RM900 bagi bulan Januari tahun hadapan.","Komisen;Komisen belum terperoleh;Akaun Belum Terima;Hasil belum terima","Komisen","Komisen belum terperoleh"

13,susut_nilai,"Kenderaan kos RM80 000 disusutnilaikan pada kadar 10% setahun atas kos.","Susut nilai kenderaan;Susut nilai terkumpul kenderaan;Kenderaan;Belanja penyelenggaraan","Susut nilai kenderaan","Susut nilai terkumpul kenderaan"
14,susut_nilai,"Perabot kos RM20 000 disusutnilaikan pada kadar 10% setahun atas kos.","Susut nilai perabot;Susut nilai terkumpul perabot;Perabot;Belanja baik pulih","Susut nilai perabot","Susut nilai terkumpul perabot"
15,susut_nilai,"Lengkapan kedai kos RM10 000 disusutnilaikan pada kadar 10% setahun atas kos.","Susut nilai lengkapan;Susut nilai terkumpul lengkapan;Lain-lain belanja;Lengkapan","Susut nilai lengkapan","Susut nilai terkumpul lengkapan"

16,hutang_lapuk,"Seorang penghutang gagal membayar hutang RM900 dan hutangnya dihapuskan.","Akaun Belum Terima;Hutang lapuk;Hutang lapuk terpulih;Peruntukan Hutang Ragu","Hutang lapuk","Akaun Belum Terima"
17,hutang_lapuk,"Akaun seorang pelanggan RM1 500 dianggap tidak dapat dikutip dan dihapuskan.","Akaun Belum Terima;Hutang lapuk;Hutang lapuk terpulih;Peruntukan Hutang Ragu","Hutang lapuk","Akaun Belum Terima"
18,hutang_lapuk,"Pelanggan yang dihapuskan hutangnya dahulu membayar semula RM400 secara tunai.","Tunai;Hutang lapuk terpulih;Akaun Belum Terima;Hutang lapuk","Tunai","Hutang lapuk terpulih"
