id,kategori,item,amaun_imbangan_duta,maklumat_tambahan,amaun_untung_rugi,nama_aset_atau_liabiliti,amaun_penyata_kewangan
1,Belanja belum bayar,Gaji,36000,"Gaji dalam imbangan duga RM36000. Pada 31 Disember, gaji sebanyak RM1800 masih belum dibayar.",37800,"Gaji belum bayar",1800
2,Belanja belum bayar,Sewa,12000,"Sewa dalam imbangan duga RM12000. Pada 31 Disember, sewa sebanyak RM1200 masih belum dibayar.",13200,"Sewa belum bayar",1200
3,Belanja belum bayar,Utiliti,8400,"Utiliti dalam imbangan duga RM8400. Pada 31 Disember, utiliti sebanyak RM700 masih belum dibayar.",9100,"Utiliti belum bayar",700
4,Belanja belum bayar,Komisen jualan,5000,"Komisen jualan dalam imbangan duga RM5000. Pada 31 Disember, komisen sebanyak RM500 masih belum dibayar.",5500,"Komisen jualan belum bayar",500
5,Belanja belum bayar,Faedah atas pinjaman,4200,"Faedah atas pinjaman dalam imbangan duga RM4200. Pada 31 Disember, faedah sebanyak RM350 masih belum dibayar.",4550,"Faedah atas pinjaman belum bayar",350
6,Belanja belum bayar,Insurans,3600,"Insurans dalam imbangan duga RM3600. Pada 31 Disember, insurans sebanyak RM300 masih belum dibayar.",3900,"Insurans belum bayar",300
7,Belanja belum bayar,Belanja pengangkutan,2400,"Belanja pengangkutan dalam imbangan duga RM2400. Pada 31 Disember, belanja pengangkutan sebanyak RM200 masih belum dibayar.",2600,"Belanja pengangkutan belum bayar",200
8,Belanja belum bayar,Belanja penyelenggaraan,6500,"Belanja penyelenggaraan dalam imbangan duga RM6500. Pada 31 Disember, belanja penyelenggaraan sebanyak RM650 masih belum dibayar.",7150,"Belanja penyelenggaraan belum bayar",650
9,Belanja belum bayar,Upah pekerja,24000,"Upah pekerja dalam imbangan duga RM24000. Pada 31 Disember, upah pekerja sebanyak RM2000 masih belum dibayar.",26000,"Upah pekerja belum bayar",2000
10,Belanja belum bayar,Belanja iklan,9000,"Belanja iklan dalam imbangan duga RM9000. Pada 31 Disember, belanja iklan sebanyak RM750 masih belum dibayar.",9750,"Belanja iklan belum bayar",750
11,Belanja prabayar,Insurans,4800,"Insurans dalam imbangan duga RM4800. Pada 31 Disember, insurans sebanyak RM400 adalah belanja prabayar.",4400,"Insurans prabayar",400
12,Belanja prabayar,Sewa,18000,"Sewa dalam imbangan duga RM18000. Pada 31 Disember, sewa sebanyak RM1500 adalah belanja prabayar.",16500,"Sewa prabayar",1500
13,Belanja prabayar,Kadar bayaran,2400,"Kadar bayaran dalam imbangan duga RM2400. Pada 31 Disember, kadar bayaran sebanyak RM200 adalah belanja prabayar.",2200,"Kadar bayaran prabayar",200
14,Belanja prabayar,Cukai pintu,3600,"Cukai pintu dalam imbangan duga RM3600. Pada 31 Disember, cukai pintu sebanyak RM300 adalah belanja prabayar.",3300,"Cukai pintu prabayar",300
15,Belanja prabayar,Belanja iklan,6000,"Belanja iklan dalam imbangan duga RM6000. Pada 31 Disember, belanja iklan sebanyak RM500 adalah belanja prabayar.",5500,"Belanja iklan prabayar",500
16,Belanja prabayar,Belanja penyelenggaraan,5400,"Belanja penyelenggaraan dalam imbangan duga RM5400. Pada 31 Disember, belanja penyelenggaraan sebanyak RM450 adalah belanja prabayar.",4950,"Belanja penyelenggaraan prabayar",450
17,Belanja prabayar,Belanja keselamatan,2700,"Belanja keselamatan dalam imbangan duga RM2700. Pada 31 Disember, belanja keselamatan sebanyak RM225 adalah belanja prabayar.",2475,"Belanja keselamatan prabayar",225
18,Belanja prabayar,Belanja langganan,1800,"Belanja langganan dalam imbangan duga RM1800. Pada 31 Disember, belanja langganan sebanyak RM150 adalah belanja prabayar.",1650,"Belanja langganan prabayar",150
19,Belanja prabayar,Insurans kenderaan,3000,"Insurans kenderaan dalam imbangan duga RM3000. Pada 31 Disember, insurans kenderaan sebanyak RM250 adalah belanja prabayar.",2750,"Insurans kenderaan prabayar",250
20,Belanja prabayar,Insurans bangunan,5500,"Insurans bangunan dalam imbangan duga RM5500. Pada 31 Disember, insurans bangunan sebanyak RM275 adalah belanja prabayar.",5225,"Insurans bangunan prabayar",275
21,Hasil belum terima,Sewa diterima,9600,"Sewa diterima dalam imbangan duga RM9600. Pada 31 Disember, sewa sebanyak RM800 masih belum diterima.",10400,"Sewa diterima belum terima",800
22,Hasil belum terima,Komisen diterima,4200,"Komisen diterima dalam imbangan duga RM4200. Pada 31 Disember, komisen sebanyak RM350 masih belum diterima.",4550,"Komisen diterima belum terima",350
23,Hasil belum terima,Faedah diterima,1500,"Faedah diterima dalam imbangan duga RM1500. Pada 31 Disember, faedah sebanyak RM125 masih belum diterima.",1625,"Faedah diterima belum terima",125
24,Hasil belum terima,Sewa diterima,7200,"Sewa diterima dalam imbangan duga RM7200. Pada 31 Disember, sewa sebanyak RM600 masih belum diterima.",7800,"Sewa diterima belum terima",600
25,Hasil belum terima,Komisen diterima,3600,"Komisen diterima dalam imbangan duga RM3600. Pada 31 Disember, komisen sebanyak RM300 masih belum diterima.",3900,"Komisen diterima belum terima",300
26,Hasil belum terima,Faedah simpanan tetap,2400,"Faedah simpanan tetap dalam imbangan duga RM2400. Pada 31 Disember, faedah sebanyak RM200 masih belum diterima.",2600,"Faedah simpanan tetap belum terima",200
27,Hasil belum terima,Royalti diterima,5000,"Royalti diterima dalam imbangan duga RM5000. Pada 31 Disember, royalti sebanyak RM400 masih belum diterima.",5400,"Royalti diterima belum terima",400
28,Hasil belum terima,Dividen diterima,4800,"Dividen diterima dalam imbangan duga RM4800. Pada 31 Disember, dividen sebanyak RM320 masih belum diterima.",5120,"Dividen diterima belum terima",320
29,Hasil belum terima,Sewa bilik,6000,"Sewa bilik dalam imbangan duga RM6000. Pada 31 Disember, sewa bilik sebanyak RM500 masih belum diterima.",6500,"Sewa bilik belum terima",500
30,Hasil belum terima,Komisen jualan,3000,"Komisen jualan dalam imbangan duga RM3000. Pada 31 Disember, komisen sebanyak RM250 masih belum diterima.",3250,"Komisen jualan belum terima",250
31,Hasil belum terperoleh,Sewa diterima,10800,"Sewa diterima dalam imbangan duga RM10800. Pada 31 Disember, sewa sebanyak RM900 diterima di hadapan.",9900,"Sewa diterima belum terperoleh",900
32,Hasil belum terperoleh,Komisen diterima,4500,"Komisen diterima dalam imbangan duga RM4500. Pada 31 Disember, komisen sebanyak RM375 diterima di hadapan.",4125,"Komisen diterima belum terperoleh",375
33,Hasil belum terperoleh,Kadar bayaran,3600,"Kadar bayaran dalam imbangan duga RM3600. Pada 31 Disember, kadar bayaran sebanyak RM300 diterima di hadapan.",3300,"Kadar bayaran belum terperoleh",300
34,Hasil belum terperoleh,Sewa kedai,12000,"Sewa kedai dalam imbangan duga RM12000. Pada 31 Disember, sewa kedai sebanyak RM1000 diterima di hadapan.",11000,"Sewa kedai belum terperoleh",1000
35,Hasil belum terperoleh,Faedah diterima,2100,"Faedah diterima dalam imbangan duga RM2100. Pada 31 Disember, faedah sebanyak RM175 diterima di hadapan.",1925,"Faedah diterima belum terperoleh",175
36,Hasil belum terperoleh,Dividen diterima,5600,"Dividen diterima dalam imbangan duga RM5600. Pada 31 Disember, dividen sebanyak RM400 diterima di hadapan.",5200,"Dividen diterima belum terperoleh",400
37,Hasil belum terperoleh,Royalti diterima,6300,"Royalti diterima dalam imbangan duga RM6300. Pada 31 Disember, royalti sebanyak RM525 diterima di hadapan.",5775,"Royalti diterima belum terperoleh",525
38,Hasil belum terperoleh,Sewa pejabat,9000,"Sewa pejabat dalam imbangan duga RM9000. Pada 31 Disember, sewa pejabat sebanyak RM750 diterima di hadapan.",8250,"Sewa pejabat belum terperoleh",750
39,Hasil belum terperoleh,Komisen jualan,4200,"Komisen jualan dalam imbangan duga RM4200. Pada 31 Disember, komisen sebanyak RM350 diterima di hadapan.",3850,"Komisen jualan belum terperoleh",350
40,Hasil belum terperoleh,Kadar bayaran,2700,"Kadar bayaran dalam imbangan duga RM2700. Pada 31 Disember, kadar bayaran sebanyak RM225 diterima di hadapan.",2475,"Kadar bayaran belum terperoleh",225
